cohort,outcome,definition,threshold,n_v,n_c,ev_v,ev_c,HR,CIlo,CIhi,p
A,Any-of-5 composite,≥1 dose (primary),1,2030,2038,29,30,1.2649883568155884,0.7534092975514078,2.1239392028737414,0.37397554173326053
A,Any-of-5 composite,≥2 doses,2,1715,1728,28,26,1.3734183521270116,0.8000051159235794,2.3578323843362305,0.24984213298076197
A,Any-of-5 composite,≥3 doses (complete),3,1481,1494,27,24,1.3830859150098507,0.7930285637006865,2.412178748482802,0.2531145303125015
A,MCE composite,≥1 dose (primary),1,2053,2053,3,2,1.963681654195149,0.3094729104465969,12.460042571926506,0.47410240719470076
A,MCE composite,≥2 doses,2,1735,1735,3,2,1.8968171692164004,0.30134600018288377,11.939482758193508,0.4952158695698875
A,MCE composite,≥3 doses (complete),3,1498,1498,3,1,,,,
A,Diabetes,≥1 dose (primary),1,2039,2043,21,22,1.2467262645481934,0.6807518095474409,2.283249720257956,0.47503575433239986
A,Diabetes,≥2 doses,2,1723,1730,21,20,1.328163660482137,0.7155366888433456,2.465308539072705,0.3684948695246081
A,Diabetes,≥3 doses (complete),3,1489,1496,20,19,1.2840726064923456,0.681533500664602,2.4193124140429867,0.43914055325002965
A,Hypertension,≥1 dose (primary),1,2044,2048,8,7,1.49121951846731,0.5311332428233868,4.186775507473396,0.4480572169564079
A,Hypertension,≥2 doses,2,1727,1733,7,5,1.7961688817131531,0.5616998309777461,5.743677447826219,0.32341801402137155
A,Hypertension,≥3 doses (complete),3,1490,1496,7,5,1.7168190106465269,0.537454714645945,5.484122540927007,0.3617117056017365
A,Angina/MI,≥1 dose (primary),1,2053,2053,3,1,,,,
A,Angina/MI,≥2 doses,2,1735,1735,3,1,,,,
A,Angina/MI,≥3 doses (complete),3,1498,1498,3,0,,,,
B,Lesion recurrence,≥1 dose (primary),1,241,867,13,57,0.7595209584287574,0.43306705631014814,1.3320618086437908,0.3372356711451204
B,Lesion recurrence,≥2 doses,2,217,783,11,52,0.7022525478537908,0.3844047363116369,1.2829151006280448,0.25028983273627836
B,Lesion recurrence,≥3 doses (complete),3,193,697,8,45,0.6044678301698115,0.3042592303480768,1.2008883256958178,0.15063349444704188
B,HPV reinfection,≥1 dose (primary),1,241,867,149,546,0.9706234503220726,0.8285117246647956,1.13711110448834,0.7120141877405103
B,HPV reinfection,≥2 doses,2,217,783,135,489,0.9712803501499225,0.8224036637355476,1.147107631187197,0.7313997026079335
B,HPV reinfection,≥3 doses (complete),3,193,697,121,429,1.0134958913023395,0.852752768565946,1.204538946750179,0.8790705244526393
